district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month
TUR.10.4_1,Artvin,Hopa,high,2048,9,0.06705690518671184,3.858537867424856e-4,5.811525596799427e-5,1.3207324366221658,1.1562600691129385,0.25,30,3,9.742573023368204e-7,2.922771907010461e-6,2.922771907010461e-5,2.922771907010461e-5,2.922767635693546e-6
TUR.10.4_1,Artvin,Hopa,high,2048,10,0.06705690518671184,3.858537867424856e-4,5.4721496983489715e-5,1.243603460048037,1.1562600691129385,0.25,31,3,9.17363558724202e-7,2.7520906761726058e-6,2.8438270320450263e-5,2.8438270320450263e-5,2.7520868891572903e-6
TUR.10.4_1,Artvin,Hopa,high,2048,11,0.06705690518671184,3.858537867424856e-4,3.191010235648051e-5,0.7251823004971923,1.1562600691129385,0.25,30,3,5.349481770541958e-7,1.6048445311625875e-6,1.6048445311625874e-5,1.6048445311625874e-5,1.6048432434079274e-6
TUR.10.4_1,Artvin,Hopa,high,2048,12,0.06705690518671184,3.858537867424856e-4,2.8784388658054105e-5,0.6541469635058071,1.1562600691129385,0.25,31,3,4.825480052751494e-7,1.4476440158254484e-6,1.4958988163529633e-5,1.4958988163529633e-5,1.447642967944418e-6
TUR.10.4_1,Artvin,Hopa,high,2049,1,0.06705690518671184,3.858537867424856e-4,3.050130166215581e-5,0.6281034622015411,1.2760315324794949,0.25,31,3,5.113307234076196e-7,1.5339921702228588e-6,1.5851252425636208e-5,1.5851252425636208e-5,1.533990993674017e-6
TUR.10.4_1,Artvin,Hopa,high,2049,2,0.06705690518671184,3.858537867424856e-4,3.1787231338453736e-5,0.6545846179366359,1.2760315324794949,0.25,28,3,5.328883395026919e-7,1.5986650185080758e-6,1.4920873506075373e-5,1.4920873506075373e-5,1.5986637406095738e-6
TUR.10.4_1,Artvin,Hopa,high,2049,3,0.06705690518671184,3.858537867424856e-4,3.164762862750692e-5,0.6517097770197132,1.2760315324794949,0.25,31,3,5.305480080647497e-7,1.591644024194249e-6,1.644698825000724e-5,1.644698825000724e-5,1.5916427574813596e-6
TUR.10.4_1,Artvin,Hopa,high,2049,4,0.06705690518671184,3.858537867424856e-4,3.891397428212873e-5,0.8013462854757657,1.2760315324794949,0.25,30,3,6.523626709687123e-7,1.9570880129061368e-6,1.9570880129061368e-5,1.9570880129061368e-5,1.9570860978479487e-6
TUR.10.4_1,Artvin,Hopa,high,2049,5,0.06705690518671184,3.858537867424856e-4,5.3572207866392496e-5,1.103207914941687,1.2760315324794949,0.25,31,3,8.980966158848749e-7,2.6942898476546246e-6,2.784099509243112e-5,2.784099509243112e-5,2.6942862180190374e-6
TUR.10.4_1,Artvin,Hopa,high,2049,6,0.06705690518671184,3.858537867424856e-4,6.0671300226244895e-5,1.2494033544433176,1.2760315324794949,0.25,30,3,1.0171074067064582e-6,3.0513222201193745e-6,3.051322220119375e-5,3.051322220119375e-5,3.051317564839451e-6
