year,month,M_climate,deltaT_centered
2064,12,1.1125368705827523,0.86566823525194
2065,1,1.1568999379558504,1.2069225996603876
2065,2,1.1568999379558504,1.2069225996603876
2065,3,1.1568999379558504,1.2069225996603876
2065,4,1.1568999379558504,1.2069225996603876
2065,5,1.1568999379558504,1.2069225996603876
2065,6,1.1568999379558504,1.2069225996603876
2065,7,1.1568999379558504,1.2069225996603876
2065,8,1.1568999379558504,1.2069225996603876
2065,9,1.1568999379558504,1.2069225996603876
2065,10,1.1568999379558504,1.2069225996603876
2065,11,1.1568999379558504,1.2069225996603876
2065,12,1.1568999379558504,1.2069225996603876
2066,1,1.1291904584229049,0.9937727570992685
2066,2,1.1291904584229049,0.9937727570992685
2066,3,1.1291904584229049,0.9937727570992685
2066,4,1.1291904584229049,0.9937727570992685
2066,5,1.1291904584229049,0.9937727570992685
2066,6,1.1291904584229049,0.9937727570992685
2066,7,1.1291904584229049,0.9937727570992685
2066,8,1.1291904584229049,0.9937727570992685
2066,9,1.1291904584229049,0.9937727570992685
2066,10,1.1291904584229049,0.9937727570992685
2066,11,1.1291904584229049,0.9937727570992685
2066,12,1.1291904584229049,0.9937727570992685
2067,1,1.171141680502561,1.3164744654043155
2067,2,1.171141680502561,1.3164744654043155
2067,3,1.171141680502561,1.3164744654043155
2067,4,1.171141680502561,1.3164744654043155
2067,5,1.171141680502561,1.3164744654043155
2067,6,1.171141680502561,1.3164744654043155
2067,7,1.171141680502561,1.3164744654043155
2067,8,1.171141680502561,1.3164744654043155
2067,9,1.171141680502561,1.3164744654043155
2067,10,1.171141680502561,1.3164744654043155
2067,11,1.171141680502561,1.3164744654043155
2067,12,1.171141680502561,1.3164744654043155
2068,1,1.1237886625361213,0.9522204810470871
2068,2,1.1237886625361213,0.9522204810470871
2068,3,1.1237886625361213,0.9522204810470871
2068,4,1.1237886625361213,0.9522204810470871
2068,5,1.1237886625361213,0.9522204810470871
2068,6,1.1237886625361213,0.9522204810470871
2068,7,1.1237886625361213,0.9522204810470871
2068,8,1.1237886625361213,0.9522204810470871
2068,9,1.1237886625361213,0.9522204810470871
2068,10,1.1237886625361213,0.9522204810470871
2068,11,1.1237886625361213,0.9522204810470871
2068,12,1.1237886625361213,0.9522204810470871
2069,1,1.189469014524799,1.4574539578830699
2069,2,1.189469014524799,1.4574539578830699
2069,3,1.189469014524799,1.4574539578830699
2069,4,1.189469014524799,1.4574539578830699
2069,5,1.189469014524799,1.4574539578830699
2069,6,1.189469014524799,1.4574539578830699
2069,7,1.189469014524799,1.4574539578830699
2069,8,1.189469014524799,1.4574539578830699
2069,9,1.189469014524799,1.4574539578830699
2069,10,1.189469014524799,1.4574539578830699
2069,11,1.189469014524799,1.4574539578830699
2069,12,1.189469014524799,1.4574539578830699
2070,1,1.1118027403072113,0.8600210792862413
2070,2,1.1118027403072113,0.8600210792862413
2070,3,1.1118027403072113,0.8600210792862413
2070,4,1.1118027403072113,0.8600210792862413
2070,5,1.1118027403072113,0.8600210792862413
2070,6,1.1118027403072113,0.8600210792862413
2070,7,1.1118027403072113,0.8600210792862413
2070,8,1.1118027403072113,0.8600210792862413
2070,9,1.1118027403072113,0.8600210792862413
2070,10,1.1118027403072113,0.8600210792862413
2070,11,1.1118027403072113,0.8600210792862413
2070,12,1.1118027403072113,0.8600210792862413
2071,1,1.1798433751520636,1.3834105780927963
2071,2,1.1798433751520636,1.3834105780927963
2071,3,1.1798433751520636,1.3834105780927963
2071,4,1.1798433751520636,1.3834105780927963
2071,5,1.1798433751520636,1.3834105780927963
2071,6,1.1798433751520636,1.3834105780927963
