district_id,date.x,year,month,era5_value,variable,date.y,hist_value,bias
TUR.40.25_1,2002-01-01,2002,1,3.9222655296325684,tas,2002-01-16,6.412931442260742,-2.490665912628174
TUR.40.25_1,2002-02-01,2002,2,8.019922256469727,tas,2002-02-15,5.710455417633057,2.30946683883667
TUR.40.25_1,2002-03-01,2002,3,8.546777725219727,tas,2002-03-16,7.829298973083496,0.7174787521362305
TUR.40.25_1,2002-04-01,2002,4,10.027978897094727,tas,2002-04-16,10.132427215576172,-0.10444831848144531
TUR.40.25_1,2002-05-01,2002,5,15.66127872467041,tas,2002-05-16,15.108709335327148,0.5525693893432617
TUR.40.25_1,2002-06-01,2002,6,20.964990615844727,tas,2002-06-16,19.52931022644043,1.4356803894042969
TUR.40.25_1,2002-07-01,2002,7,25.084129333496094,tas,2002-07-16,23.179885864257813,1.9042434692382813
TUR.40.25_1,2002-08-01,2002,8,23.356592178344727,tas,2002-08-16,22.39924430847168,0.9573478698730469
TUR.40.25_1,2002-09-01,2002,9,20.039695739746094,tas,2002-09-16,20.692216873168945,-0.6525211334228516
TUR.40.25_1,2002-10-01,2002,10,16.159814834594727,tas,2002-10-16,17.787281036376953,-1.6274662017822266
TUR.40.25_1,2002-11-01,2002,11,12.48476505279541,tas,2002-11-16,11.776346206665039,0.7084188461303711
TUR.40.25_1,2002-12-01,2002,12,5.697900772094727,tas,2002-12-16,7.808538436889648,-2.110637664794922
TUR.40.25_1,2003-01-01,2003,1,7.235009670257568,tas,2003-01-16,6.158332824707031,1.076676845550537
TUR.40.25_1,2003-02-01,2003,2,2.0772948265075684,tas,2003-02-15,6.940810680389404,-4.863515853881836
TUR.40.25_1,2003-03-01,2003,3,4.209619045257568,tas,2003-03-16,8.893205642700195,-4.683586597442627
TUR.40.25_1,2003-04-01,2003,4,8.519922256469727,tas,2003-04-16,9.655523300170898,-1.1356010437011719
